,count,mean,std,min,25%,50%,75%,max
feature1,400.0,0.204235686952275,0.35349039042510105,0.0,0.0,0.00112300165,0.20174394499999998,0.99999994
feature2,400.0,0.0841950674246,0.22033947967148682,0.0,0.0,0.0,0.031609193,0.99999994
feature3,400.0,0.045431032287624996,0.17346612429715144,0.0,0.0,0.0,0.0058792440000000005,0.99999994
feature4,400.0,0.033240518586775,0.14886648557483997,0.0,0.0,0.0,0.00254326845,0.9936583
feature5,400.0,0.02147509462955,0.10084224186960412,0.0,0.0,0.0,0.0026423568,0.9981503
feature6,400.0,0.25984441696879995,0.38318152342134265,0.0,0.0,0.0070022456,0.579138565,0.99999994
feature7,400.0,0.17938399111975,0.32048167529054344,0.0,0.0,0.00244418015,0.165774865,0.99999994
feature8,400.0,0.05353778282545,0.18512717655884325,0.0,0.0,0.0,0.0035341522999999997,0.99999994
feature9,400.0,0.053815560561475004,0.1924815830074122,0.0,0.0,0.0,0.0027744747,0.99999994
feature10,400.0,0.0648407941439,0.20957414945921263,0.0,0.0,0.0,0.005383802,0.99999994
feature11,400.0,0.41133106462659996,0.42928654616173884,0.0,0.0,0.22671422,0.9688862125,0.99999994
feature12,400.0,0.22709504731832503,0.328313139465793,0.0,0.0,0.021667327,0.3730677575,0.99999994
feature13,400.0,0.12780089183175,0.2592671984052461,0.0,0.0,0.00217994445,0.111144135,0.99999994
feature14,400.0,0.129327513195925,0.2749200660283401,0.0,0.0,0.0,0.07236754449999999,0.99999994
feature15,400.0,0.10444543005244998,0.2612067916832161,0.0,0.0,0.0,0.010866692249999999,0.99999994
feature16,400.0,0.1481064131923,0.32476744180693273,0.0,0.0,0.0,0.03478002225,0.99999994
feature17,400.0,0.10368476185400001,0.2261384036040771,0.0,0.0,0.0,0.034515789000000005,0.99999994
feature18,400.0,0.16722155235579997,0.29900006885967156,0.0,0.0,0.0029726515000000004,0.19480775,0.99999994
feature19,400.0,0.23015522711002498,0.3431077462488986,0.0,0.0,0.026159333,0.342020075,0.99999994
feature20,400.0,0.35083199343980004,0.4268945841722856,0.0,0.0,0.049742366999999996,0.8707556999999999,0.99999994
feature21,400.0,82.439964712575,46.66434213065411,0.0,39.20954,96.2347075,111.07438125,178.0
feature22,400.0,15.162063190465,19.114105950547238,0.0,0.7075498975,4.5520785,25.037069000000002,86.21083
feature23,400.0,-0.22102509355750002,5.912276262696085,-50.4683,-1.567552825,0.0,1.254956575,23.732777
feature24,400.0,87.86526282433752,69.62496885662044,0.0,32.0233505,66.258295,140.8159625,254.33134
feature25,400.0,19.081630932975,20.782836772168856,0.0,1.516086675,12.8989655,29.069773,109.14777
feature26,400.0,0.45104728708,4.391215658960102,-20.622015,-0.7966206525,0.0,0.9794505,36.122673
feature27,400.0,154.522981235,72.27631253049638,0.0,113.1230035,176.86233,215.26813750000002,255.0
feature28,400.0,17.8701845707125,18.753971200893382,0.0,2.41059235,10.778787999999999,29.674771999999997,95.75005
feature29,400.0,-0.3431585392265001,5.285091715365644,-42.864628,-1.0988240249999999,0.0,0.86814027,18.356422
feature30,400.0,0.2082068204128,0.3119160062719027,0.0,0.0,0.0242436235,0.30700883749999996,0.99999994
feature31,400.0,0.097966702073225,0.1981583276308773,0.0,0.0,0.000594530285,0.08914651525,0.99999994
feature32,400.0,0.040414187657924996,0.11828934859860128,0.0,0.0,0.0,0.011560311,0.7809486
feature33,400.0,0.030226910994550004,0.10651451071247386,0.0,0.0,0.0,0.006605892,0.9413396
feature34,400.0,0.0258244139783,0.08198643851839031,0.0,0.0,0.0,0.01047033925,0.61804724
feature35,400.0,0.24736786887617498,0.3385210305669468,0.0,0.0,0.044325536,0.4354604075,0.99999994
feature36,400.0,0.16720074418114997,0.2709589356097846,0.0,0.0,0.0155238465,0.23332012,0.99999994
